business_status,name,user_ratings_total,rating,vicinity,lat,lng,types,place_id,phone_number
CLOSED_TEMPORARILY,Coxa Bamba - Boteco e Arte,2.0,4.5,"Rua Praia de Camurupim, 9019 - Lj. 3 - Ponta Negra, Natal",-5.873183299999999,-35.1811471,"['bar', 'point_of_interest', 'establishment']",ChIJ5cTbVsD_sgcRgQbCkKZqmi4,
OPERATIONAL,Sempre Rock Bar,140.0,4.6,"Avenida Praia de Ponta Negra, 9045 - Ponta Negra, Natal",-5.874186199999999,-35.1803916,"['bar', 'point_of_interest', 'establishment']",ChIJgbZz_k3_sgcR0uGJGvPPQp8,
OPERATIONAL,Point do Sérgio - Espetinho e Petiscaria,66.0,4.7,"Avenida Praia de Búzios, 9155 - Ponta Negra, Natal",-5.8785435,-35.17992729999999,"['bar', 'point_of_interest', 'establishment']",ChIJb-p-yUb5sgcRgj6rLFTjPeA,
OPERATIONAL,Seu Pepeto Espeto e Gela,214.0,4.4,"Avenida Praia de Ponta Negra, 9076 - Ponta Negra, Natal",-5.875127199999999,-35.1799706,"['bar', 'point_of_interest', 'establishment']",ChIJN4PoBjr_sgcRtId4DVwjqEA,
OPERATIONAL,Bar e Restaurante Samurai,1.0,5.0,"Avenida Praia de Ponta Negra, 9088 - Ponta Negra, Natal",-5.875555400000001,-35.1796878,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",ChIJ3Vh-JFxUsgcR6V6rOoMvE_k,
OPERATIONAL,Cervejaria Resistência,100.0,4.5,"Rua Leonora Armstrong, 35 - Ponta Negra, Natal",-5.873969299999999,-35.1801797,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJx7Io2jr_sgcR0Znt-dKaDX4,
OPERATIONAL,Espetaria do Major,3.0,2.7,"Avenida Praia de Ponta Negra, 8996 - Ponta Negra, Natal",-5.8723018,-35.1812467,"['bar', 'point_of_interest', 'establishment']",ChIJ59fmYIn_sgcRAcWwBKciyqA,
OPERATIONAL,Boteco Timbu,11.0,4.7,"Avenida Praia de Búzios, 9171 - Ponta Negra, Natal",-5.8788414,-35.1795073,"['bar', 'point_of_interest', 'establishment']",ChIJITxTqCb5sgcRwY6O7zq4CD8,
CLOSED_TEMPORARILY,Barzinho Top,,,"Avenida Praia de Ponta Negra, 8992 - Ponta Negra, Natal",-5.872174100000001,-35.1812418,"['bar', 'point_of_interest', 'establishment']",ChIJR1xcGHn_sgcRcMTrLrQ1Hz4,
OPERATIONAL,Persy Esmalteria,3.0,4.7,"Rua Praia de Baía Formosa, 9219 - Vila de Ponta Negra, Natal",-5.880703099999999,-35.1803251,"['night_club', 'bar', 'point_of_interest', 'establishment']",ChIJYaTJR9L4sgcR890OCI4L1lw,
OPERATIONAL,Ôxe Bar,679.0,4.5,"Avenida Praia de Ponta Negra, 8988 - Ponta Negra, Natal",-5.872015500000001,-35.1813479,"['bar', 'point_of_interest', 'establishment']",ChIJ724gHKf_sgcR-M28E5MoOoo,
OPERATIONAL,Quiosque Chopp Brahma,,,"Praia Shopping, Avenida Engenheiro Roberto Freire, 8790 - Capim Macio, Natal",-5.8736295,-35.17985090000001,"['bar', 'point_of_interest', 'establishment']",ChIJ__8v2C3_sgcRivb9oo4b8GA,
CLOSED_TEMPORARILY,Bastião Flat -Au,,,"Avenida Engenheiro Roberto Freire, 4044 - Ponta Negra, Natal",-5.8730336,-35.1802061,"['bar', 'point_of_interest', 'establishment']",ChIJ9T6lqff_sgcR6UFiS_auASw,
OPERATIONAL,Empório Moraes - Adega e Cachaçaria,70.0,4.7,"Avenida Praia de Ponta Negra, 9001 Galeria Center Sul - Ponta Negra, Natal",-5.8721049,-35.18093409999999,"['liquor_store', 'bar', 'storage', 'store', 'food', 'point_of_interest', 'establishment']",ChIJlfYvN6r_sgcRzibgzbjhX5M,
OPERATIONAL,Agora Hostel e Pousada,117.0,4.5,"Rua Cabo do, Rua Cabo de Bacopari, 2122 - Ponta Negra, Natal",-5.870370499999999,-35.1844644,"['bar', 'lodging', 'point_of_interest', 'establishment']",ChIJ6ag6kID_sgcRo9FM8CID-FA,
CLOSED_TEMPORARILY,Cobertura do amor,,,"Rua Fabrício Gomes Pedrosa, 9164 - Ponta Negra, Natal",-5.882394299999999,-35.181705,"['bar', 'point_of_interest', 'establishment']",ChIJLQjs2UX5sgcRAdxUMg0xlr8,
OPERATIONAL,Spetos & Beer Bar e restaurante,66.0,4.5,"Avenida Praia de Genipabú, 80 - Ponta Negra, Natal",-5.8709219,-35.1885833,"['bar', 'point_of_interest', 'establishment']",ChIJGWKD3jb_sgcRORy20eYVUSQ,
OPERATIONAL,Parajinha Bar E Restaurante,,,"Avenida Praia de Ponta Negra, 8970 - Ponta Negra, Natal",-5.871439999999999,-35.1815231,"['bar', 'point_of_interest', 'establishment']",ChIJvcEHLC7_sgcRIifpv72t0jY,
OPERATIONAL,Hunka Bistrô Bar e Doceria,2.0,5.0,"Avenida Praia de Búzios, 9187 - Ponta Negra, Natal",-5.879217199999999,-35.1790995,"['bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJN_Ldym75sgcRr3lgIhavep8,
OPERATIONAL,Juaquin's restaurante,94.0,4.5,"Rua da Feirinha de Artesanato, Avenida Praia de Tibau, 8955 - Ponta Negra, Natal",-5.870947000000001,-35.1820969,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ57vuKzD_sgcR0CZ5M5biQjk,
OPERATIONAL,Suvaco Ponta Negra,1224.0,4.1,"Avenida Praia de Pirangi, 2286 - Ponta Negra, Natal",-5.8810356,-35.1799383,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ1T_NRdL4sgcRzqcRU3uK0xY,
OPERATIONAL,Zeca Sampa Bar e Restaurante,211.0,4.3,"Avenida Deputado Antônio Florêncio de Queiroz, 2242 - Vila de Ponta Negra, Natal",-5.880103800000001,-35.1792236,"['bar', 'point_of_interest', 'establishment']",ChIJieJVDMH5sgcRes-DXVzvo4g,
OPERATIONAL,Boteco 011,3.0,3.7,"Avenida Praia de Muriú, 20a - Ponta Negra, Natal",-5.882217199999999,-35.1808394,"['bar', 'point_of_interest', 'establishment']",ChIJ5V69d5P5sgcRf3yv-lLNaG8,
OPERATIONAL,Oktus cervejaria,,,"Rua Pedro Fonseca Filho, 1050 - Ponta Negra, Natal",-5.872283299999999,-35.1800367,"['bar', 'point_of_interest', 'establishment']",ChIJUUs5Ep3_sgcRH9N9uCWhm_w,
OPERATIONAL,Boteco Nordestino Buchinho Cheio,,,"Rua Pedro Fonseca Filho, 8990 - Ponta Negra, Natal",-5.871711899999999,-35.1804895,"['bar', 'point_of_interest', 'establishment']",ChIJFddYM8j_sgcRAO5Zwh8L0MA,
OPERATIONAL,Baladinha Universitaria,,,"Avenida Praia de Genipabú, 2002 - Ponta Negra, Natal",-5.8700573,-35.18781549999999,"['bar', 'point_of_interest', 'establishment']",ChIJz_BgDVzxsgcR8IdfXqrCAEs,
OPERATIONAL,Confraria Do Nonato,9.0,4.8,"Avenida Deputado Antônio Florêncio de Queiroz, 3 - Ponta Negra Natal - RN 59052-300 - Ponta Negra, Natal",-5.8799334,-35.17886699999999,"['night_club', 'bar', 'point_of_interest', 'establishment']",ChIJPS3nA9P4sgcRIYJOA84SeSY,
OPERATIONAL,G4 Lounge Bar,9.0,4.7,"Avenida Praia de Tibau, 2020 - Ponta Negra, Natal",-5.870426799999999,-35.181904,"['bar', 'point_of_interest', 'establishment']",ChIJicgmIH7_sgcRJ_eTFnfEqBY,
OPERATIONAL,SPETARIA LOUNGE,,,"Avenida Estrela do Mar, 2227 - Vila de Ponta Negra, Natal",-5.880925,-35.1792085,"['bar', 'point_of_interest', 'establishment']",ChIJiV3nTNL4sgcRaFUYGeA95EI,
OPERATIONAL,Bar e Restaurante Rapa Tacho,153.0,4.4,"Avenida Engenheiro Roberto Freire, 3740 - 13 - Ponta Negra, Natal",-5.8705291,-35.1816294,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ4VSj2y__sgcR0uadrki1MLQ,
OPERATIONAL,3D GastroBar e Eventos,,,"Rua Moacir da Cunha Melo, 34 - Ponta Negra, Natal",-5.871185,-35.1806945,"['bar', 'point_of_interest', 'establishment']",ChIJ6VjqT1r_sgcRujuwX72dHCQ,
CLOSED_TEMPORARILY,Dom Spettos,1.0,5.0,"Ponta Negra, Natal",-5.871142799999999,-35.1806866,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJ8xP02dH_sgcRNPORV00Mh-Y,
OPERATIONAL,Deck Espetos,,,"Rua Pedro Fonseca Filho, n° 502 - Ponta Negra, Natal",-5.870995100000001,-35.1808626,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJdV_Xawj5sgcR2UsPxxKoPTA,
OPERATIONAL,JuaH Gastrobar Ponta Negra,56.0,4.4,"Avenida Praia de Ponta Negra, 9172 - Ponta Negra, Natal",-5.877710400000001,-35.1779929,"['bar', 'point_of_interest', 'establishment']",ChIJQaoGvDn_sgcRCq8USHnRZs0,
OPERATIONAL,Varandinha Lounge Bar,707.0,4.2,"Avenida Praia de Pirangi, 2186 - Ponta Negra, Natal",-5.878571000000001,-35.178135,"['bar', 'point_of_interest', 'establishment']",ChIJidvo4Pr5sgcRqFXqYeOxGos,
CLOSED_TEMPORARILY,Barraco Praia,590.0,4.2,"Avenida Engenheiro Roberto Freire, 9100 - Ponta Negra, Natal",-5.876478400000001,-35.1778901,"['bar', 'point_of_interest', 'establishment']",ChIJ0TAirYv_sgcRH9OslX-onSc,
OPERATIONAL,Khina Wok Bar e Restaurante,205.0,4.7,"Rua Pedro Fonseca Filho, 32 - Ponta Negra, Natal",-5.871199000000001,-35.1804483,"['meal_delivery', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",ChIJy7yv5Mj_sgcReYd88N5_SkE,
OPERATIONAL,Trully Bar e Petiscaria,2.0,4.5,"Av Roberto freire 8750 loja 6 ponta negra - Conjunto Ponta Negra, Natal",-5.8693298,-35.1870901,"['bar', 'point_of_interest', 'establishment']",ChIJC8ZMFjL_sgcRhse1c2XRrsw,
OPERATIONAL,Bulldega Bar e Restaurante,2.0,1.0,"Rua Carapeba, 2271a, Natal",-5.882535,-35.1801369,"['bar', 'point_of_interest', 'establishment']",ChIJWeAU93L5sgcRj3DC2ySvG9Y,
OPERATIONAL,Ô fuxico bar,102.0,4.5,"Rua Praia do Sagi, 2074 - Ponta Negra, Natal",-5.869552,-35.1829485,"['bar', 'point_of_interest', 'establishment']",ChIJy-GfgDD_sgcReW8fJ4aQBXs,
